LINK,CODE,BRAND,NAME,PRICE,REVIEWS,PRICE_TRY,PRICE_EURO,PRICE_USD
https://www.vatanbilgisayar.com/lenovo-tab-m11-2-0ghz-8gb-128gb-11inch-fullhd-android-tablet.html,ZADA0327TR,LENOVO,lenovo tab m11 2.0ghz 8gb 128gb 11inch fullhd -android tablet,8499,11,8499,230,248
https://www.vatanbilgisayar.com/samsung-galaxy-tab-s9-fe-128gb-8gb-12-4-android-tablet-sm-x610nzaatur-gri.html,X610-G,SAMSUNG,samsung galaxy tab s9 fe+ 128gb 8gb-12.4''android tablet sm-x610nzaatur gri,16799,76,16799,454,490
https://www.vatanbilgisayar.com/samsung-galaxy-tab-s9-fe-128gb-6gb-10-9-android-tablet-sm-x510nzaatur-gri.html,X510-G,SAMSUNG,samsung galaxy tab s9 fe 128gb 6gb-10.9''android tablet sm-x510nzaatur gri,13999,43,13999,378,408
https://www.vatanbilgisayar.com/lenovo-tab-m9-1-8ghz-4gb-64gb-9inch-hd-android-tablet.html,ZAC30155TR,LENOVO,lenovo tab m9 1.8ghz 4gb 64gb 9inch hd- android tablet,3999,49,3999,108,116
https://www.vatanbilgisayar.com/lenovo-ideapad-slim-3-12-nesil-core-i5-12450h-8gb-512gb-ssd-15-6inc-w11-147059.html,83ER00FVTR,LENOVO,lenovo ideapad slim 3 12.nesil core i5 12450h-8gb-512gb ssd-15.6inc-w11,19999,0,19999,541,583
https://www.vatanbilgisayar.com/lenovo-loq-12-nesil-core-i5-12450hx-rtx3050-6gb-8gb-512gb-ssd-15-6-w11.html,83GS007YTR,LENOVO,lenovo loq 12.nesil core i5 12450hx-rtx3050 6gb-8gb-512gb ssd-15.6-w11,32999,18,32999,893,963
https://www.vatanbilgisayar.com/samsung-galaxy-tab-s9-fe-128gb-6gb-10-9-android-tablet-sm-x510nliatur-mor.html,X510-M,SAMSUNG,samsung galaxy tab s9 fe 128gb 6gb-10.9''android tablet sm-x510nliatur mor,13999,43,13999,378,408
https://www.vatanbilgisayar.com/samsung-galaxy-tab-a9-128gb-8gb-11-android-tablet-sm-x210nzaetur-graphite.html,X210-G 8GB/128GB,SAMSUNG,samsung galaxy tab a9+ 128gb 8gb-11'' android tablet sm-x210nzaetur graphite,7099,106,7099,192,207
https://www.vatanbilgisayar.com/hp-15-fd0042nt-13-nesil-core-i5-1334u-8gb-256gb-ssd-15-6inc-w11.html,B17DBEA,HP,hp 15-fd0042nt 13.nesil core i5 1334u-8gb-256gb ssd-15.6inc-w11,15999,5,15999,433,467
https://www.vatanbilgisayar.com/hp-a1xs4ea-intel-core-i3-1115g4-3ghz-8gb-256-gb-ssd-intel-uhd-win11-23-8.html,A1XS4EA,HP,"hp a1xs4ea intel core i̇3 1115g4 3 ghz 8 gb 256 gb ssd intel uhd win11 23.8""",15999,2,15999,433,467
https://www.vatanbilgisayar.com/asus-vivobook-go-15-7-nesil-ryzen-3-7320u-8gb-256gb-ssd-15-6inc-w11.html,E1504FA-NJ072W,ASUS,asus vivobook go 15 7.nesil ryzen 3 7320u-8gb-256gb ssd-15.6inc-w11,11999,7,11999,324,350
https://www.vatanbilgisayar.com/lenovo-tab-m10-2-3ghz-4gb-64gb-10-1inch-fhd-android-tablet.html,ZAAE0117TR,LENOVO,lenovo tab m10 1.8ghz 4gb 64gb 10.1inch fhd- android tablet,4399,24,4399,119,128
https://www.vatanbilgisayar.com/samsung-galaxy-tab-a9-64gb-4gb-11-android-tablet-sm-x210nzaatur-graphite.html,X210-G,SAMSUNG,samsung galaxy tab a9+ 64gb 4gb-11'' android tablet sm-x210nzaatur graphite,5799,118,5799,156,169
https://www.vatanbilgisayar.com/huawei-matepad-11-5-s-8-256-gb-papermatte-emui-tablet.html,53014ATB,HUAWEI,huawei matepad 11.5”s 8+256 gb papermatte - emuı tablet,16999,5,16999,460,496
https://www.vatanbilgisayar.com/lenovo-yoga-slim-6-evo-12-nesil-core-i5-1240p-8gb-512gb-ssd-14inc-w11.html,82WU006YTX,LENOVO,lenovo yoga slim 6 oled evo 12.nesil core i5 1240p-8gb-512gb ssd-14inc-w11,29999,33,29999,812,875
https://www.vatanbilgisayar.com/samsung-galaxy-tab-s9-fe-128gb-8gb-12-4-android-tablet-sm-x610nliatur-mor.html,X610-M,SAMSUNG,samsung galaxy tab s9 fe+ 128gb 8gb-12.4''android tablet sm-x610nliatur mor,16799,76,16799,454,490
https://www.vatanbilgisayar.com/samsung-galaxy-tab-a9-128gb-8gb-11-android-tablet-sm-x210nzsetur-gumus.html,X210-S 8GB/128GB,SAMSUNG,samsung galaxy tab a9+ 128gb 8gb-11'' android tablet sm-x210nzsetur gümüş,7099,106,7099,192,207
https://www.vatanbilgisayar.com/honor-pad-x9-2-8ghz-8gb-128gb-11-5-android-tablet.html,5301AJAB,HONOR,"honor pad x9 2.8ghz 8gb 128gb 11,5''-android tablet",7499,95,7499,203,218
https://www.vatanbilgisayar.com/samsung-galaxy-tab-s9-fe-128gb-8gb-12-4-android-tablet-sm-x610nzsatur-gumus.html,X610-S,SAMSUNG,samsung galaxy tab s9 fe+ 128gb 8gb-12.4''android tablet sm-x610nzsatur gümüş,16799,76,16799,454,490
